"Type;""Id"";""FirstName"";""LastName"";""City"";""Country"";""Phone"";""OrderDate"";""TotalAmount"";""OrderNumber"";""UnitPrice"";""Quantity"";""ProductName"";""Package"";""IsDiscontinued""",,,
"Customer;37;""Patricia"";""McKenna"";""Cork"";""Ireland"";""2967 542"";""03/02/2018"";""1928"";""542776"";18;15;""Chai"";""10 boxes x 20 bags"";0",,,
"Customer;7;""FrÃ©dÃ©rique"";""Citeaux"";""Strasbourg"";""France"";""88.60.15.31"";""16/01/2018"";""450"";""542758"";18;25;""Chai"";""10 boxes x 20 bags"";0",,,
"Customer;91;""Zbyszek"";""Piestrzeniewicz"";""Warszawa"";""Poland"";""(26) 642-7012"";""30/12/2017"";""808"";""542741"";18;6;""Chai"";""10 boxes x 20 bags"";0",,,
"Customer;18;""Janine"";""Labrune"";""Nantes"";""France"";""40.67.88.88"";""28/12/2017"";""424"";""542739"";18;3;""Chai"";""10 boxes x 20 bags"";0",,,
"Customer;51;""Jean"";""FresniÃ¨re"";""MontrÃ©al"";""Canada"";""(514) 555-8054"";""09/12/2017"";""1140"";""542720"";18;20;""Chai"";""10 boxes x 20 bags"";0",,,
"Customer;80;""Miguel"";""Angel Paolino"";""MÃ©xico D.F."";""Mexico"";""(5) 555-2933"";""25/11/2017"";""838","45"";""542706"";18;10;""Chai"";""10 boxes x 20 bags"";0",,
"Customer;87;""Pirkko"";""Koskitalo"";""Oulu"";""Finland"";""981-443655)"";""06/10/2017"";""1344"";""542656"";18;8;""Chai"";""10 boxes x 20 bags"";0",,,
"Customer;44;""Renate"";""Messner"";""Frankfurt a.M."";""Germany"";""069-0245984"";""02/10/2017"";""2657","8"";""542652"";18;40;""Chai"";""10 boxes x 20 bags"";0",,
"Customer;60;""Isabel"";""de Castro"";""Lisboa"";""Portugal"";""(1) 356-5634"";""18/08/2017"";""672"";""542607"";14","4;15;""Chai"";""10 boxes x 20 bags"";0",,
"Customer;41;""Annette"";""Roulet"";""Toulouse"";""France"";""61.77.61.10"";""15/06/2017"";""2123","2"";""542543"";14","4;24;""Chai"";""10 boxes x 20 bags"";0",
"Customer;62;""LÃºcia"";""Carvalho"";""Sao Paulo"";""Brazil"";""(11) 555-1189"";""08/06/2017"";""2018","2"";""542536"";14","4;10;""Chai"";""10 boxes x 20 bags"";0",
"Customer;14;""Yang"";""Wang"";""Bern"";""Switzerland"";""0452-076545"";""03/05/2017"";""1174"";""542500"";14","4;15;""Chai"";""10 boxes x 20 bags"";0",,
"Customer;58;""Guillermo"";""FernÃ¡ndez"";""MÃ©xico D.F."";""Mexico"";""(5) 552-3745"";""17/04/2017"";""568","8"";""542484"";14","4;12;""Chai"";""10 boxes x 20 bags"";0",
"Customer;86;""Rita"";""MÃ¼ller"";""Stuttgart"";""Germany"";""0711-020361"";""11/04/2017"";""396"";""542478"";14","4;15;""Chai"";""10 boxes x 20 bags"";0",,
"Customer;48;""Fran"";""Wilson"";""Portland"";""USA"";""(503) 555-9573"";""11/03/2017"";""288"";""542447"";14","4;20;""Chai"";""10 boxes x 20 bags"";0",,
"Customer;65;""Paula"";""Wilson"";""Albuquerque"";""USA"";""(505) 555-5939)"";""16/02/2017"";""1887","6"";""542424"";14","4;18;""Chai"";""10 boxes x 20 bags"";0",
"Customer;63;""Horst"";""Kloss"";""Cunewalde"";""Germany"";""0372-035188"";""07/02/2017"";""2179","2"";""542415"";14","4;45;""Chai"";""10 boxes x 20 bags"";0",
"Customer;35;""Carlos"";""HernÃ¡ndez"";""San CristÃ³bal"";""Venezuela"";""(5) 555-1340"";""29/01/2018"";""2054"";""542771"";19;50;""Chang"";""24 - 12 oz bottles"";0",,,
"Customer;86;""Rita"";""MÃ¼ller"";""Stuttgart"";""Germany"";""0711-020361"";""20/01/2018"";""620"";""542762"";19;30;""Chang"";""24 - 12 oz bottles"";0",,,
"Customer;67;""Janete"";""Limeira"";""Rio de Janeiro"";""Brazil"";""(21) 555-3412"";""10/01/2018"";""605"";""542752"";19;20;""Chang"";""24 - 12 oz bottles"";0",,,
"Customer;91;""Zbyszek"";""Piestrzeniewicz"";""Warszawa"";""Poland"";""(26) 642-7012"";""30/12/2017"";""808"";""542741"";19;10;""Chang"";""24 - 12 oz bottles"";0",,,
"Customer;89;""Karl"";""Jablonski"";""Seattle"";""USA"";""(206) 555-4112"";""14/09/2017"";""1388","5"";""542634"";19;12;""Chang"";""24 - 12 oz bottles"";0",,
"Customer;47;""Felipe"";""Izquierdo"";""I. de Margarita"";""Venezuela"";""(8) 34-56-12"";""26/08/2017"";""1760"";""542615"";15","2;20;""Chang"";""24 - 12 oz bottles"";0",,
"Customer;89;""Karl"";""Jablonski"";""Seattle"";""USA"";""(206) 555-4112"";""10/08/2017"";""1125","5"";""542599"";15","2;40;""Chang"";""24 - 12 oz bottles"";0",
"Customer;71;""Jose"";""Pavarotti"";""Boise"";""USA"";""(208) 555-8097"";""12/07/2017"";""5793","1"";""542570"";15","2;45;""Chang"";""24 - 12 oz bottles"";0",
"Customer;16;""Elizabeth"";""Brown"";""London"";""UK"";""(171) 555-2282"";""07/07/2017"";""631","6"";""542565"";15","2;10;""Chang"";""24 - 12 oz bottles"";0",
"Customer;63;""Horst"";""Kloss"";""Cunewalde"";""Germany"";""0372-035188"";""20/06/2017"";""1814","8"";""542548"";15","2;60;""Chang"";""24 - 12 oz bottles"";0",
"Customer;71;""Jose"";""Pavarotti"";""Boise"";""USA"";""(208) 555-8097"";""26/05/2017"";""3302","6"";""542523"";15","2;25;""Chang"";""24 - 12 oz bottles"";0",
"Customer;25;""Peter"";""Franken"";""MÃ¼nchen"";""Germany"";""089-0877310"";""05/04/2017"";""2300","8"";""542472"";15","2;24;""Chang"";""24 - 12 oz bottles"";0",
"Customer;37;""Patricia"";""McKenna"";""Cork"";""Ireland"";""2967 542"";""29/03/2017"";""2545","2"";""542465"";15","2;7;""Chang"";""24 - 12 oz bottles"";0",
"Customer;24;""Maria"";""Larsson"";""BrÃ¤cke"";""Sweden"";""0695-34 67 21"";""21/03/2017"";""2262","5"";""542457"";15","2;25;""Chang"";""24 - 12 oz bottles"";0",
